loan_status_key,loan_status,verification_status,verification_status_joint
1,2015-10-01,38000.0,
2,Charged Off,Not Verified,
3,Charged Off,Not Verified,Not Verified
4,Charged Off,Source Verified,
5,Charged Off,Source Verified,Not Verified
6,Charged Off,Source Verified,Source Verified
7,Charged Off,Verified,
8,Charged Off,Verified,Not Verified
9,Charged Off,Verified,Source Verified
10,Charged Off,Verified,Verified
11,Current,Not Verified,
12,Current,Not Verified,Not Verified
13,Current,Source Verified,
14,Current,Source Verified,Not Verified
15,Current,Source Verified,Source Verified
16,Current,Verified,
17,Current,Verified,Not Verified
18,Current,Verified,Source Verified
19,Current,Verified,Verified
20,Default,Not Verified,
21,Default,Not Verified,Not Verified
22,Default,Source Verified,
23,Default,Source Verified,Not Verified
24,Default,Source Verified,Source Verified
25,Default,Verified,
26,Default,Verified,Not Verified
27,Default,Verified,Source Verified
28,Default,Verified,Verified
29,Fully Paid,Not Verified,
30,Fully Paid,Not Verified,Not Verified
31,Fully Paid,Source Verified,
32,Fully Paid,Source Verified,Not Verified
33,Fully Paid,Source Verified,Source Verified
34,Fully Paid,Verified,
35,Fully Paid,Verified,Not Verified
36,Fully Paid,Verified,Source Verified
37,Fully Paid,Verified,Verified
38,In Grace Period,Not Verified,
39,In Grace Period,Not Verified,Not Verified
40,In Grace Period,Source Verified,
41,In Grace Period,Source Verified,Not Verified
42,In Grace Period,Source Verified,Source Verified
43,In Grace Period,Verified,
44,In Grace Period,Verified,Not Verified
45,In Grace Period,Verified,Source Verified
46,In Grace Period,Verified,Verified
47,Late (16-30 days),Not Verified,
48,Late (16-30 days),Not Verified,Not Verified
49,Late (16-30 days),Source Verified,
50,Late (16-30 days),Source Verified,Not Verified
51,Late (16-30 days),Source Verified,Source Verified
52,Late (16-30 days),Verified,
53,Late (16-30 days),Verified,Not Verified
54,Late (16-30 days),Verified,Source Verified
55,Late (16-30 days),Verified,Verified
56,Late (31-120 days),Not Verified,
57,Late (31-120 days),Not Verified,Not Verified
58,Late (31-120 days),Source Verified,
59,Late (31-120 days),Source Verified,Not Verified
60,Late (31-120 days),Source Verified,Source Verified
61,Late (31-120 days),Verified,
62,Late (31-120 days),Verified,Not Verified
63,Late (31-120 days),Verified,Source Verified
64,Late (31-120 days),Verified,Verified
