hardships_key,hardship_flag,hardship_type,hardship_status,debt_settlement_flag
1,,,,N
2,,,,Y
3,,CVD19SKIP,ACTIVE,N
4,,N,,
5,N,,,N
6,N,,,Y
7,N,CVD19SKIP,COMPLETE,N
8,N,INTEREST ONLY-3 MONTHS DEFERRAL,BROKEN,N
9,N,INTEREST ONLY-3 MONTHS DEFERRAL,BROKEN,Y
10,N,INTEREST ONLY-3 MONTHS DEFERRAL,COMPLETED,N
11,N,INTEREST ONLY-3 MONTHS DEFERRAL,COMPLETED,Y
12,N,ST0650PV01,BROKEN,N
13,N,ST0650PV01,BROKEN,Y
14,N,ST0650PV01,COMPLETE,N
15,N,ST0650PV01,COMPLETE,Y
16,N,ST06RIV01,COMPLETE,N
17,Y,CVD193MO,ACTIVE,N
18,Y,CVD19SKIP,,N
19,Y,CVD19SKIP,ACTIVE,N
20,Y,CVD19SKIP,COMPLETE,N
21,Y,ST03INTV01,,N
22,Y,ST03INTV01,ACTIVE,N
23,Y,ST0650PV01,,N
24,Y,ST0650PV01,ACTIVE,N
